time,cursor
0.03333334,0
0.7666667,1
0.8000001,2
0.8333334,3
0.8666667,4
0.9,5
1.533333,6
1.566667,7
1.6,8
1.633333,9
1.666667,10
2.3,11
2.333333,12
3.866667,13
4.166667,14
4.2,15
4.233334,16
4.266667,17
4.3,18
4.333333,19
4.366667,20
4.4,21
4.433333,22
4.466667,23
4.5,24
4.533334,25
4.566667,26
4.6,27
4.633334,28
4.666667,29
4.7,30
4.733334,31
4.766667,32
8.8,33
8.866667,34
8.900001,35
8.933333,36
8.966667,37
9,38
9.033334,39
9.066668,40
9.1,41
9.133334,42
9.166667,43
9.200001,44
9.233334,45
9.266667,46
9.3,47
9.333334,48
9.366667,49
9.400001,50
9.433333,51
13.46667,52
13.5,53
13.53333,54
15.06667,55
15.1,56
15.13333,57
15.76667,58
15.8,59
16.93333,60
16.96667,61
17.3,62
18.3,68
18.5,69
19.1,70
19.13334,71
20.66667,72
20.7,73
21.06667,77
21.26667,78
22.1,79
22.13334,80
22.16667,81
22.2,82
22.23333,83
23.76667,84
23.8,85
23.83333,86
24.46667,87
24.5,88
24.93333,89
24.96667,90
26.5,91
26.53333,92
26.56667,93
26.6,94
26.63334,95
28.16667,96
28.2,97
28.23334,98
28.26667,99
28.9,100
28.93333,101
30.16667,102
31.7,103
31.73334,104
32.33334,105
32.36667,106
32.7,107
33.7,112
33.9,113
34.5,114
34.53334,115
36.06667,116
36.1,117
36.46667,121
36.66667,122
37.5,123
37.53334,124
37.56667,125
37.6,126
37.63334,127
39.16667,128
39.2,129
39.23333,130
39.86667,131
39.9,132
41.1,133
41.13334,134
41.46667,135
42.46667,139
42.66667,140
43.66667,142
43.86667,143
44.86667,144
46.4,145
46.43333,146
46.86667,147
46.9,148
47.23334,149
48.23334,154
48.43333,155
49.43333,156
49.63334,157
50.06667,158
50.1,159
51.63334,160
51.66667,161
51.7,162
51.73334,163
51.76667,164
53.3,165
53.33334,166
53.36667,167
53.4,168
54.03334,169
54.06667,170
55.26667,171
55.3,172
55.63334,173
56.63334,179
56.83334,180
57.43334,181
57.46667,182
59,183
59.03334,184
59.4,188
59.6,189
60.43334,190
60.46667,191
60.83334,195
61.03334,196
61.86667,197
61.9,198
61.93334,199
61.96667,200
62.33334,206
62.53334,207
63.36667,208
63.4,209
63.43334,210
63.46667,211
63.5,212
63.86667,221
64.06667,222
64.9,223
64.93333,224
64.96667,225
65.16667,226
65.2,227
66.2,235
66.4,236
66.43333,237
66.46667,238
66.5,239
66.53334,240
68.06667,241
68.10001,242
68.13334,243
68.16667,244
68.8,245
68.83334,246
69.73334,247
69.76667,248
70.10001,249
71.10001,254
71.3,255
71.73334,256
71.76667,257
73.3,258
73.33334,259
73.36667,260
73.4,261
73.76667,266
73.96667,267
74.8,268
74.83334,269
74.86667,270
74.9,271
74.93333,272
74.96667,273
76.50001,274
76.53334,275
76.56667,276
76.60001,277
77.23334,278
77.26667,279
78.50001,280
78.53334,281
78.86667,282
79.46667,283
79.50001,284
81.03334,285
81.06667,286
81.43333,290
81.63334,291
82.46667,292
82.50001,293
82.86667,297
83.06667,298
83.9,299
83.93333,300
83.96667,301
84.00001,302
84.36667,309
84.56667,310
85.4,311
85.43333,312
85.46667,313
85.66667,314
85.7,315
86.7,320
86.9,321
86.93333,322
86.96667,323
87.00001,324
87.03334,325
88.56667,326
88.60001,327
88.63334,328
88.66667,329
89.3,330
89.33334,331
90.4,332
90.43333,333
90.76667,334
91.76667,339
91.96667,340
92.4,341
92.43333,342
93.96667,343
94.00001,344
94.03334,345
94.06667,346
94.43334,352
94.63334,353
95.46667,354
95.50001,355
95.53334,356
95.73334,357
95.76667,358
95.8,359
95.83334,360
95.86667,361
96.23334,368
96.43334,369
97.26667,370
97.3,371
97.33334,372
97.53334,373
97.56667,374
97.60001,375
97.63334,376
97.66667,377
98.03334,383
98.23334,384
99.06667,385
99.10001,386
99.13334,387
99.33334,388
99.36667,389
99.4,390
99.43334,391
99.46667,392
99.50001,393
101.0333,394
101.0667,395
101.1,396
101.1333,397
101.7667,398
101.8,399
103.0333,400
103.0667,401
103.4,402
104.4,407
104.6,408
105.7667,409
107.3,410
107.3333,411
107.9333,412
107.9667,413
108.3,414
109.3,418
109.5,419
110.1,420
110.1333,421
111.6667,422
111.7,423
111.7333,424
111.7667,425
112.1333,431
112.3333,432
113.1667,433
113.2,434
113.2333,435
113.4333,436
113.4667,437
114.4667,442
114.6667,443
114.7,444
114.7333,445
114.7667,446
114.8,447
116.3333,448
116.3667,449
116.4,450
117.4,453
117.6,454
117.6333,455
118.2667,456
118.3,457
119.2667,458
119.3,459
119.6333,460
120.6333,462
120.8333,463
121.2667,464
121.3,465
122.8333,466
122.8667,467
122.9,468
122.9333,469
123.3,474
123.5,475
124.3333,476
124.3667,477
124.4,478
124.4333,479
124.4667,480
124.8333,485
125.0333,486
125.8667,487
125.9,488
125.9333,489
125.9667,490
126,491
126.0333,492
127.5667,493
127.6,494
127.6333,495
127.6667,496
128.3,497
128.3333,498
129.4333,499
129.4667,500
129.8,501
130.2333,502
131.2333,503
132.7333,505
133.3333,506
133.3667,507
133.5667,508
133.6,509
133.8,510
134.8,511
136.3,513
136.9,514
136.9333,515
137.7333,516
137.7667,517
138.1,518
138.3,519
138.3333,520
138.5333,521
139.1333,522
139.1667,523
140.7,524
140.7333,525
140.7667,526
140.8,527
141.1667,535
141.3667,536
142.2,537
142.2333,538
142.2667,539
142.4667,540
142.5,541
142.5333,542
142.5667,543
142.9333,547
143.1333,548
143.9667,549
144,550
144.0333,551
144.0667,552
144.4333,557
144.6333,558
145.4667,559
145.5,560
145.5333,561
145.5667,562
145.6,563
145.6333,564
147.1667,565
147.2,566
147.2333,567
148.2333,570
148.4333,571
148.4667,572
149.1,573
149.1333,574
150.2667,575
150.3,576
150.6333,577
151.6333,579
151.8333,580
153.0667,581
153.1,582
153.4333,583
154.4333,588
154.6333,589
155.4333,590
155.4667,591
155.8,592
156.8,596
157,597
157.4333,598
157.4667,599
159,600
159.0333,601
159.0667,602
159.1,603
159.4667,608
159.6667,609
160.5,610
160.5333,611
160.5667,612
160.6,613
160.6333,614
161,621
161.2,622
162.0333,623
162.0667,624
162.1,625
162.3,626
162.3333,627
162.3667,628
162.4,629
162.4333,630
162.4667,631
164,632
164.0333,633
164.0667,634
164.1,635
164.7333,636
164.7667,637
166,638
166.0333,639
166.3667,640
167.3667,649
167.5667,650
167.6,651
167.8,652
167.8333,653
168.8333,658
169.0333,659
169.6333,660
169.6667,661
171.2,662
171.2333,663
171.2667,664
171.6333,668
171.8333,669
172.6667,670
172.7,671
172.7333,672
172.7667,673
173.1333,678
173.3333,679
174.1667,680
175.1667,706
175.3667,707
176.3667,711
176.5667,712
177.5667,716
177.7667,717
177.8,718
177.8333,719
178.0333,720
178.0667,721
178.2667,722
178.3,723
178.5,724
178.5333,725
179.5333,730
179.7333,731
180.7333,736
180.9333,737
180.9667,738
181.3333,742
181.5333,743
182.3667,744
182.4,745
182.4333,746
182.4667,747
182.5,748
184.0333,749
184.0667,750
184.1,751
185.1,754
185.3,755
185.3333,756
185.9667,757
186,758
186.9667,759
187,760
187.3333,761
188.3333,767
188.5333,768
189.5333,773
189.7333,774
190.9667,775
191,776
191.3333,777
192.3333,785
192.5333,786
193.5333,793
193.7333,794
194.9333,795
194.9667,796
195.3,797
196.3,805
196.5,806
197.5,812
197.7,813
198.7,814
198.7333,815
199.0667,816
200.0667,824
200.2667,825
200.7,826
200.7333,827
202.2667,828
202.3,829
202.3333,830
202.3667,831
202.7333,837
202.9333,838
203.7667,839
203.8,840
203.8333,841
204.0333,842
204.0667,843
204.1,844
204.1333,845
204.1667,846
204.2,847
204.2333,848
204.6,854
204.8,855
205.6333,856
205.6667,857
205.7,858
205.9,859
205.9333,860
205.9667,861
206.3333,865
206.5333,866
207.3667,867
207.4,868
207.4333,869
207.4667,870
207.5,871
209.0333,872
209.0667,873
209.1,874
209.1333,875
209.7667,876
209.8,877
210.9,878
210.9333,879
211.2667,880
212.2667,919
212.4667,920
212.5,921
212.7,922
212.7333,923
212.9333,924
212.9667,925
213.1667,926
213.2,927
213.4,928
213.4333,929
213.6333,930
213.6667,931
214.6667,936
214.8667,937
215.8667,942
216.0667,943
217.3,944
217.3333,945
217.6667,946
218.6667,951
218.8667,952
219.8667,957
220.0667,958
220.6667,959
220.7,960
222.2333,961
222.2667,962
222.6333,966
222.8333,967
223.6667,968
223.7,969
223.9,970
