Class,MenuPath,oper,is_oper,value,type,range,distance,pile,target,has_type,has_club,has_trait,has_card,card_types,last_type,place_card,card_owner,compare_to_max,gauge,Inside,Outside,Neutral,directions,thumnail,possibility,diagonals,player,opponent,neutral,trait,has_status
ConditionBossGauge,TcgEngine/Condition/BossGauge,ConditionOperatorInt(GreaterEqual),,int,,,,,,,,,,,,,,bool,BossGaugeType,,,,,,,,,,,,
ConditionTriggered,TcgEngine/Condition/Triggered,,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionLastTypeRange,TcgEngine/Condition/LastTypeRange,ConditionOperatorBool,,,ConditionLastType,int,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionSlotUnitEmpty,TcgEngine/Condition/SlotUnitEmpty,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionOwner,TcgEngine/Condition/CardOwner,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionLastTypeExist,TcgEngine/Condition/LastTypeExist,ConditionOperatorBool,,,ConditionLastType,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionCount,TcgEngine/Condition/Count,ConditionOperatorInt,,int,,,,PileType,ConditionPlayerType,List<CardType>,List<ClubData>,List<TraitData>,List<CardData>,,,,,,,,,,,,,,,,,,
ConditionCardType,TcgEngine/Condition/CardType,ConditionOperatorBool,,,,,,,,List<CardType>,List<ClubData>,List<TraitData>,,,,,,,,,,,,,,,,,,,
ConditionCanPlace,TcgEngine/Condition/CanPlace,ConditionOperatorBool,,,,,,,,,,,,,ConditionLastType,CardData,ConditionPlayerType,,,,,,,,,,,,,,
ConditionSlotLocate,TcgEngine/Condition/SlotLocate,,,,,,,,,,,,,,,,,,,bool,bool,bool,,,,,,,,,
ConditionWideAreaRange,TcgEngine/Condition/WideAreaRange,,,,,,,,,,,,,,,,,,,,,,List<Direction>,Sprite,,,,,,,
ConditionSlotNeighbor,TcgEngine/Condition/SlotNeighbor,,,,,int=1,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionNone,TcgEngine/Condition/None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionCardData,TcgEngine/Condition/CardData,ConditionOperatorBool,,,,,,,,,,,,List<CardData>,,,,,,,,,,,,,,,,,
ConditionPossibility,TcgEngine/Condition/Possibility,,,,,,,,,,,,,,,,,,,,,,,,float,,,,,,
ConditionTarget,TcgEngine/Condition/Player,ConditionOperatorBool,,,ConditionTargetType,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionSlotRange,TcgEngine/Condition/SlotRange,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionCardPile,TcgEngine/Condition/CardPile,ConditionOperatorBool,,,PileType,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionDamaged,TcgEngine/Condition/Damaged,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionDeckbuilding,TcgEngine/Condition/CardDeckbuilding,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionEquipped,TcgEngine/Condition/CardEquipped,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionExhaust,TcgEngine/Condition/CardExhausted,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionOnce,TcgEngine/Condition/OncePerTurn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionOwnerAI,TcgEngine/Condition/CardOwnerAI,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionPlayerStat,TcgEngine/Condition/PlayerStat,ConditionOperatorInt,,int,ConditionStatType,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionRolled,TcgEngine/Condition/RolledValue,ConditionOperatorInt,,int,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionSelf,TcgEngine/Condition/CardSelf,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionSlotAttachmentEmpty,TcgEngine/Condition/SlotAttachmentEmpty,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionSlotDist,TcgEngine/Condition/SlotDist,,,,,,int=1,,,,,,,,,,,,,,,,,,,bool,,,,,
ConditionSlotPid,TcgEngine/Condition/SlotPid,,,,,,,,,,,,,,,,,,,,,,,,,,bool=true,bool=true,bool=true,,
ConditionStat,TcgEngine/Condition/Stat,ConditionOperatorInt,,int,ConditionStatType,,,,,,,,,,,,,,,,,,,,,,,,,,
ConditionStatCustom,TcgEngine/Condition/StatCustom,ConditionOperatorInt,,int,,,,,,,,,,,,,,,,,,,,,,,,,,TraitData,
ConditionStatus,TcgEngine/Condition/CardStatus,ConditionOperatorBool,,int,,,,,,,,,,,,,,,,,,,,,,,,,,,StatusType
ConditionTurn,TcgEngine/Condition/Turn,ConditionOperatorBool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
