Class,MenuPath,type,stat_type,use_stored_value,gauge,set_to_value,delta,set_value,bonus_damage,damage_type,value_type,pile,player,has_type,has_club,has_trait,target_type,attacker_type,heal_type,bonus_heal,weapon,use,use_opponent,exhausted,create_card,create_pile,is_same_possibility,create_opponent,total_type,ratio,status,status_type,attach,play_card,gain_ability,remove_ability,club,trait,owner_opponent,dice,transform_to
EffectAddStat,TcgEngine/Effect/AddStat,EffectStatType,,bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectBossGauge,TcgEngine/Effect/BossGauge,,,,BossGaugeType,bool,int,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectSetClubCardUI,TcgEngine/Effect/SetClubCardUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectDestroy,TcgEngine/Effect/Destroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectDamageCount,TcgEngine/Effect/DamageCount,,,,,,,,TraitData,EffectDamageType,,PileType,EffectPlayerType,CardType,ClubData,TraitData,,,,,,,,,,,,,,,,,,,,,,,,,
EffectDamage,TcgEngine/Effect/Damage,,,,,,,,TraitData,EffectDamageType,EffectValueType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectMoveUnit,TcgEngine/Effect/MoveUnit,,,,,,,,,,,,,,,,EffectActionType,,,,,,,,,,,,,,,,,,,,,,,,
EffectHeal,TcgEngine/Effect/Heal,,,,,,,,,,,,,,,,,,EffectValueType,TraitData,,,,,,,,,,,,,,,,,,,,,
EffectChangeWeapon,TcgEngine/Effect/ChangeWeapon,,,,,,,,,,,,,,,,,,,,WeaponData,,,,,,,,,,,,,,,,,,,,
EffectAttack,TcgEngine/Effect/Attack,,,,,,,,,,,,,,,,,EffectActionType,,,,,,,,,,,,,,,,,,,,,,,
EffectUseCard,TcgEngine/Effect/UseCard,,,,,,,,,,,,,,,,,,,,,CardData,bool,,,,,,,,,,,,,,,,,,
EffectStoreCount,TcgEngine/Effect/StoreCount,,,,,,,,,,,PileType,EffectPlayerType,CardType,ClubData,TraitData,,,,,,,,,,,,,,,,,,,,,,,,,
EffectSendPile,TcgEngine/Effect/SendPile,,,,,,,,,,,PileType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectExhaust,TcgEngine/Effect/Exhaust,,,,,,,,,,,,,,,,,,,,,,,bool,,,,,,,,,,,,,,,,,
EffectCreateCard,TcgEngine/Effect/CreateCard,,,,,,,,,,,,,,,,,,,,,,,,List<WeightedCard>,PileType,bool,bool,,,,,,,,,,,,,
EffectCreate,TcgEngine/Effect/Create,,,,,,,,,,,,,,,,,,,,,,,,,PileType,,bool,,,,,,,,,,,,,
EffectAddStatTotalCount,TcgEngine/Effect/AddStatTotalCount,,EffectStatType,,,,,,,,,,,,,,,,,,,,,,,,,,EffectTotalCountType,,,,,,,,,,,,
EffectDamageRatio,TcgEngine/Effect/DamageRatio,,,,,,,,TraitData,,,,,,,,,,,,,,,,,,,,,float,,,,,,,,,,,
EffectAttackRedirect,TcgEngine/Effect/AttackRedirect,,,,,,,,,,,,,,,,,EffectActionType,,,,,,,,,,,,,,,,,,,,,,,
EffectPlay,TcgEngine/Effect/Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectClearStatus,TcgEngine/Effect/ClearStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StatusData,EffectStatusType,,,,,,,,,
EffectAddStatCount,TcgEngine/Effect/AddStatCount,EffectStatType,,,,,,,,,,PileType,EffectPlayerType,CardType,ClubData,TraitData,,,,,,,,,,,,,,,,,,,,,,,,,
EffectAttachCard,TcgEngine/Effect/AttachCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CardData,,,,,,,,
EffectPlayCard,TcgEngine/Effect/PlayCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CardData,,,,,,,
EffectAddAbility,TcgEngine/Effect/AddAbility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AbilityData,,,,,,
EffectAddClub,TcgEngine/Effect/AddClub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClubData,,,,
EffectAddStatRoll,TcgEngine/Effect/AddStatRoll,EffectStatType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectAddTrait,TcgEngine/Effect/AddTrait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TraitData,,,
EffectChangeOwner,TcgEngine/Effect/ChangeOwner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bool,,
EffectClearTemp,TcgEngine/Effect/ClearTemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectDestroyEquip,TcgEngine/Effect/DestroyEquip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectDiscard,TcgEngine/Effect/Discard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectDraw,TcgEngine/Effect/Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectMana,TcgEngine/Effect/Mana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectRemoveAbility,TcgEngine/Effect/RemoveAbility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AbilityData,,,,,
EffectRemoveTrait,TcgEngine/Effect/RemoveTrait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TraitData,,,
EffectResetStat,TcgEngine/Effect/ResetStat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectRoll,TcgEngine/Effect/RollDice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,int=6,
EffectSetStat,TcgEngine/Effect/SetStat,EffectStatType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectSetStatCustom,TcgEngine/Effect/SetStatCustom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TraitData,,,
EffectShuffle,TcgEngine/Effect/Shuffle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectTransform,TcgEngine/Effect/Transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CardData
